api,space,cache,locality,pages,bytes_per_page,bytes_total,n_trials,ok_rate,prep_ns_p50,exec_ns_min,exec_ns_p50,exec_ns_mean,exec_ns_p95,exec_ns_max,exec_ns_stdev,total_ns_p50,total_ns_mean,mbps_p50
scatter,virtual,cold,contiguous,1,8,8,51,1.0000,1100,849500,853900,858013.7,874000,923100,11450.2,855000,859245.1,0.009
scatter,physical,cold,contiguous,1,8,8,51,1.0000,1000,137200,172500,172737.3,179500,202900,7129.9,173500,173760.8,0.044
scatter_page,virtual,cold,contiguous,1,8,8,51,1.0000,1000,848600,853000,854396.1,863300,863600,3907.2,854000,855396.1,0.009
scalar,virtual,cold,contiguous,1,8,8,51,1.0000,0,849300,853400,855468.6,866200,884800,6037.2,853400,855468.6,0.009
lc_scatter,physical,cold,contiguous,1,8,8,51,1.0000,0,147200,171100,171574.5,178600,199400,6025.6,171100,171574.5,0.045
scatter,virtual,cold,contiguous,1,16,16,51,1.0000,1000,808500,853000,853502.0,864000,911300,12654.1,854000,854543.1,0.018
scatter,physical,cold,contiguous,1,16,16,51,1.0000,1000,170200,171900,172503.9,177200,180500,2068.1,172900,173529.4,0.089
lc_scatter,physical,cold,contiguous,1,16,16,51,1.0000,0,169400,171200,175272.5,207500,211200,11167.9,171200,175272.5,0.089
scatter,virtual,cold,contiguous,1,32,32,51,1.0000,1000,848500,852700,855707.8,861500,944300,13373.1,853700,856721.6,0.036
scatter,physical,cold,contiguous,1,32,32,51,1.0000,1000,171100,172300,172978.4,178100,179400,1988.2,173400,174023.5,0.177
lc_scatter,physical,cold,contiguous,1,32,32,51,1.0000,0,169700,171500,172111.8,176800,178400,1940.3,171500,172111.8,0.178
scatter,virtual,cold,contiguous,1,64,64,51,1.0000,1000,848700,854300,854462.7,860600,861500,3007.7,855300,855468.6,0.071
scatter,physical,cold,contiguous,1,64,64,51,1.0000,1000,171200,172700,173874.5,179200,202600,4626.3,173700,174919.6,0.353
lc_scatter,physical,cold,contiguous,1,64,64,51,1.0000,0,169600,171500,172284.3,176800,179600,2137.6,171500,172284.3,0.356
scatter,virtual,cold,contiguous,1,128,128,51,1.0000,1000,842400,852300,853149.0,861500,866700,3940.9,853300,854162.7,0.143
scatter,physical,cold,contiguous,1,128,128,51,1.0000,1000,170900,172400,172919.6,176900,179200,1816.9,173500,173966.7,0.708
